Station_ID,Station_Name,Operator,State,City,Address,Latitude,Longitude,Charger_Type,Power_kW,Available_Chargers,Charging_Cost_per_Unit,Estimated_Waiting_Time_Min,Status,Route_Name,Route_Order,Has_Food_Court,Has_Cafe,Has_Washroom,Review_Rating,Review_Count,Division,Data_Source
EV001,Pune EV Charging Station 1,Ather Grid,Maharashtra,Pune,"Sector 27, Pune",18.567597,73.900004,Type 2,30,3,16.67,21.0,Available,Pune-Nagpur,1,True,True,False,3.3,179,Pune,ORIGINAL_UPLOAD
EV002,Mumbai EV Charging Station 2,ChargeZone,Maharashtra,Mumbai,"Sector 27, Mumbai",19.095623,72.834788,AC,60,7,9.08,28.0,Maintenance,,,True,False,True,3.8,75,Other,ORIGINAL_UPLOAD
EV003,Solapur EV Charging Station 3,Ather Grid,Maharashtra,Solapur,"Sector 21, Solapur",17.62085,75.858586,DC Fast,120,7,13.17,17.0,Maintenance,,,True,False,True,4.0,58,Pune,ORIGINAL_UPLOAD
EV004,Chhatrapati Sambhajinagar EV Charging Station 4,Tata Power,Maharashtra,Chhatrapati Sambhajinagar,"Sector 2, Chhatrapati Sambhajinagar",19.815892,75.408955,AC,7,8,17.23,15.0,Available,Pune-Nagpur,2,False,True,True,5.0,124,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV005,Chhatrapati Sambhajinagar EV Charging Station 5,Ather Grid,Maharashtra,Chhatrapati Sambhajinagar,"Sector 24, Chhatrapati Sambhajinagar",19.934803,75.415972,CCS2,60,5,9.75,44.0,Busy,Pune-Nagpur,2,False,False,True,4.6,134,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV006,Nagpur EV Charging Station 6,Ather Grid,Maharashtra,Nagpur,"Sector 2, Nagpur",21.103314,79.032483,AC,120,8,14.4,26.0,Maintenance,Pune-Nagpur,5,True,False,False,3.4,138,Other,ORIGINAL_UPLOAD
EV007,Akola EV Charging Station 7,Ather Grid,Maharashtra,Akola,"Sector 38, Akola",20.663102,77.03963,Type 2,60,8,9.58,15.0,Busy,Pune-Nagpur,3,False,False,False,3.5,3,Other,ORIGINAL_UPLOAD
EV008,Mumbai EV Charging Station 8,Jio-bp,Maharashtra,Mumbai,"Sector 34, Mumbai",19.019552,72.845451,CCS2,120,1,17.45,42.0,Maintenance,,,True,False,True,3.0,241,Other,ORIGINAL_UPLOAD
EV009,Kolhapur EV Charging Station 9,Tata Power,Maharashtra,Kolhapur,"Sector 10, Kolhapur",16.687592,74.178309,Type 2,120,7,12.9,22.0,Available,,,True,True,True,4.2,20,Pune,ORIGINAL_UPLOAD
EV010,Akola EV Charging Station 10,Ather Grid,Maharashtra,Akola,"Sector 28, Akola",20.694866,76.968717,AC,30,8,9.06,41.0,Maintenance,Pune-Nagpur,3,False,True,False,3.3,195,Other,ORIGINAL_UPLOAD
EV011,Nagpur EV Charging Station 11,Tata Power,Maharashtra,Nagpur,"Sector 26, Nagpur",21.215785,79.083714,AC,60,8,14.96,10.0,Busy,Pune-Nagpur,5,False,False,True,3.5,62,Other,ORIGINAL_UPLOAD
EV012,Nagpur EV Charging Station 12,Statiq,Maharashtra,Nagpur,"Sector 40, Nagpur",21.209992,79.034177,DC Fast,30,5,14.96,10.0,Busy,Pune-Nagpur,5,True,True,True,4.4,114,Other,ORIGINAL_UPLOAD
EV013,Chandrapur EV Charging Station 13,Statiq,Maharashtra,Chandrapur,"Sector 39, Chandrapur",19.975359,79.343215,DC Fast,60,8,13.09,7.0,Busy,,,False,False,True,5.0,192,Other,ORIGINAL_UPLOAD
EV014,Akola EV Charging Station 14,Jio-bp,Maharashtra,Akola,"Sector 4, Akola",20.749265,77.042484,Type 2,7,1,13.39,45.0,Maintenance,Pune-Nagpur,3,False,False,True,4.5,107,Other,ORIGINAL_UPLOAD
EV015,Pune EV Charging Station 15,ChargeZone,Maharashtra,Pune,"Sector 34, Pune",18.543541,73.918997,AC,60,1,9.86,3.0,Available,Pune-Nagpur,1,False,False,True,4.2,11,Pune,ORIGINAL_UPLOAD
EV016,Chhatrapati Sambhajinagar EV Charging Station 16,Tata Power,Maharashtra,Chhatrapati Sambhajinagar,"Sector 32, Chhatrapati Sambhajinagar",19.915788,75.39297,DC Fast,60,2,15.7,37.0,Available,Pune-Nagpur,2,False,False,False,4.9,141,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV017,Kolhapur EV Charging Station 17,Ather Grid,Maharashtra,Kolhapur,"Sector 21, Kolhapur",16.755248,74.165329,CCS2,60,1,16.7,34.0,Maintenance,,,False,True,False,4.0,32,Pune,ORIGINAL_UPLOAD
EV018,Nashik EV Charging Station 18,ChargeZone,Maharashtra,Nashik,"Sector 14, Nashik",20.004443,73.739202,CCS2,60,5,13.6,36.0,Available,,,True,False,False,4.3,243,Nashik,ORIGINAL_UPLOAD
EV019,Chandrapur EV Charging Station 19,Ather Grid,Maharashtra,Chandrapur,"Sector 48, Chandrapur",19.912615,79.290139,AC,30,6,8.36,33.0,Available,,,True,False,True,3.7,42,Other,ORIGINAL_UPLOAD
EV020,Nagpur EV Charging Station 20,Statiq,Maharashtra,Nagpur,"Sector 38, Nagpur",21.097095,79.160904,CCS2,30,6,8.68,8.0,Available,Pune-Nagpur,5,False,False,False,4.5,25,Other,ORIGINAL_UPLOAD
EV021,Nashik EV Charging Station 21,Tata Power,Maharashtra,Nashik,"Sector 35, Nashik",19.991987,73.740794,Type 2,60,7,14.52,39.0,Maintenance,,,False,False,False,3.2,240,Nashik,ORIGINAL_UPLOAD
EV022,Mumbai EV Charging Station 22,ChargeZone,Maharashtra,Mumbai,"Sector 26, Mumbai",19.077745,72.927095,AC,120,1,13.13,44.0,Busy,,,False,False,True,3.0,44,Other,ORIGINAL_UPLOAD
EV023,Pune EV Charging Station 23,Jio-bp,Maharashtra,Pune,"Sector 49, Pune",18.547538,73.891931,DC Fast,120,5,15.48,19.0,Maintenance,Pune-Nagpur,1,False,False,True,4.1,90,Pune,ORIGINAL_UPLOAD
EV024,Nashik EV Charging Station 24,Tata Power,Maharashtra,Nashik,"Sector 14, Nashik",19.918099,73.767731,DC Fast,7,4,8.66,5.0,Maintenance,,,False,True,False,3.8,41,Nashik,ORIGINAL_UPLOAD
EV025,Amravati EV Charging Station 25,Tata Power,Maharashtra,Amravati,"Sector 10, Amravati",20.981606,77.738808,AC,60,4,11.31,35.0,Maintenance,Pune-Nagpur,4,False,False,False,3.4,12,Other,ORIGINAL_UPLOAD
EV026,Nagpur EV Charging Station 26,Tata Power,Maharashtra,Nagpur,"Sector 20, Nagpur",21.168797,79.070516,DC Fast,7,5,15.62,40.0,Maintenance,Pune-Nagpur,5,True,False,False,3.9,212,Other,ORIGINAL_UPLOAD
EV027,Chhatrapati Sambhajinagar EV Charging Station 27,Ather Grid,Maharashtra,Chhatrapati Sambhajinagar,"Sector 45, Chhatrapati Sambhajinagar",19.876549,75.362181,CCS2,7,1,13.13,21.0,Available,Pune-Nagpur,2,True,False,True,3.5,202,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV028,Kolhapur EV Charging Station 28,Statiq,Maharashtra,Kolhapur,"Sector 49, Kolhapur",16.734297,74.276344,DC Fast,120,3,12.8,14.0,Busy,,,True,True,False,3.4,175,Pune,ORIGINAL_UPLOAD
EV029,Chandrapur EV Charging Station 29,Ather Grid,Maharashtra,Chandrapur,"Sector 4, Chandrapur",19.925517,79.344002,AC,120,5,8.53,19.0,Available,,,True,True,True,4.9,231,Other,ORIGINAL_UPLOAD
EV030,Chhatrapati Sambhajinagar EV Charging Station 30,ChargeZone,Maharashtra,Chhatrapati Sambhajinagar,"Sector 50, Chhatrapati Sambhajinagar",19.879996,75.373131,CCS2,22,2,12.69,26.0,Busy,Pune-Nagpur,2,False,True,True,4.3,246,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV031,Solapur EV Charging Station 31,Statiq,Maharashtra,Solapur,"Sector 13, Solapur",17.611374,75.921178,DC Fast,120,5,17.16,19.0,Maintenance,,,False,False,False,4.5,151,Pune,ORIGINAL_UPLOAD
EV032,Nashik EV Charging Station 32,Jio-bp,Maharashtra,Nashik,"Sector 36, Nashik",19.959261,73.741094,Type 2,22,3,9.28,37.0,Maintenance,,,False,True,True,5.0,21,Nashik,ORIGINAL_UPLOAD
EV033,Amravati EV Charging Station 33,Statiq,Maharashtra,Amravati,"Sector 42, Amravati",20.96956,77.792335,Type 2,22,3,10.47,6.0,Available,Pune-Nagpur,4,True,False,False,3.2,124,Other,ORIGINAL_UPLOAD
EV034,Nagpur EV Charging Station 34,ChargeZone,Maharashtra,Nagpur,"Sector 50, Nagpur",21.166224,79.043405,AC,60,1,10.6,2.0,Busy,Pune-Nagpur,5,True,True,True,4.1,102,Other,ORIGINAL_UPLOAD
